Event Title,Description,Event Date,Event Time,Event Type,Location,Is Virtual,Registration URL,Image URL,Speakers,Capacity,Registered Count
Introduction to HubSpot CMS,Learn the fundamentals of building websites with HubSpot CMS. Perfect for beginners who want to get started.,12/15/2025,14:00,webinar,Online via Zoom,true,https://example.com/register/hubspot-intro,https://picsum.photos/seed/hubspot/800/400,"John Smith, Jane Doe",100,45
Advanced React Development,Deep dive into React patterns and best practices for building scalable applications.,12/20/2025,10:00,workshop,Tech Hub - 123 Main Street,false,https://example.com/register/react-advanced,https://picsum.photos/seed/react/800/400,Sarah Johnson,50,32
Annual Developer Conference 2026,Join us for our biggest event of the year featuring talks from industry leaders and hands-on workshops.,01/15/2026,09:00,conference,Convention Center - 456 Tech Ave,false,https://example.com/register/devconf-2026,https://picsum.photos/seed/conference2026/800/400,"Mike Chen, Lisa Wang, David Brown",500,287
Monthly Tech Meetup - December,Casual networking event for developers to share ideas and learn from each other.,12/10/2025,18:30,meetup,Coffee & Code Cafe,false,https://example.com/register/meetup-dec,https://picsum.photos/seed/techmeetup/800/400,Community Led,30,22
Building Accessible Websites,Learn how to create websites that work for everyone including users with disabilities.,12/18/2025,15:00,webinar,Online via Microsoft Teams,true,https://example.com/register/accessibility,https://picsum.photos/seed/a11y/800/400,Emma Wilson,150,89
JavaScript Fundamentals Bootcamp,A comprehensive 3-hour workshop covering core JavaScript concepts for web developers.,10/15/2025,09:00,workshop,Dev Academy - 789 Code Lane,false,https://example.com/register/js-bootcamp,https://picsum.photos/seed/javascript/800/400,Carlos Rodriguez,40,40
API Design Best Practices,Recorded session on designing RESTful APIs that scale. Watch the replay anytime.,09/20/2025,11:00,webinar,Online Recording,true,https://example.com/register/api-design,https://picsum.photos/seed/api/800/400,Amanda Foster,200,178
Summer Hackathon 2025,48-hour coding challenge with prizes for the best projects. Teams of up to 4 people.,08/10/2025,08:00,conference,Innovation Hub - Downtown,false,https://example.com/register/hackathon-2025,https://picsum.photos/seed/hackathon/800/400,"Tech Sponsors, Community Judges",120,120
Introduction to TypeScript,Getting started with TypeScript for JavaScript developers. Hands-on coding session.,11/05/2025,14:00,workshop,Online via Google Meet,true,https://example.com/register/typescript-intro,https://picsum.photos/seed/typescript/800/400,Kevin Park,75,68
Cloud Architecture Fundamentals,Learn the basics of designing cloud-native applications on AWS and Azure.,10/28/2025,10:00,webinar,Online via Zoom,true,https://example.com/register/cloud-arch,https://picsum.photos/seed/cloud/800/400,"Rachel Kim, Tom Anderson",180,145
New Year Kickoff Meetup,Start 2026 with fellow developers! Networking and lightning talks.,01/08/2026,18:00,meetup,The Dev Lounge,false,https://example.com/register/newyear-2026,https://picsum.photos/seed/newyear/800/400,Community Led,50,12
AI and Machine Learning Workshop,Hands-on introduction to building ML models with Python and TensorFlow.,02/12/2026,09:00,workshop,Tech Campus - Building A,false,https://example.com/register/ai-ml-workshop,https://picsum.photos/seed/aiml/800/400,"Dr. Susan Lee, James Wright",60,28
Spring Developer Summit 2026,Two-day conference covering the latest in web and mobile development.,03/20/2026,08:30,conference,Grand Hotel Conference Center,false,https://example.com/register/spring-summit-2026,https://picsum.photos/seed/summit/800/400,"Industry Leaders, Open Source Maintainers",400,95
GraphQL Deep Dive,Advanced patterns for building efficient GraphQL APIs and frontend integration.,02/25/2026,15:00,webinar,Online via Zoom,true,https://example.com/register/graphql-deep,https://picsum.photos/seed/graphql/800/400,Maria Santos,120,34
Mobile App Development with React Native,Build cross-platform mobile apps using React Native. Bring your laptop!,04/05/2026,10:00,workshop,Mobile Dev Studio,false,https://example.com/register/react-native,https://picsum.photos/seed/mobile/800/400,Alex Thompson,35,8
Women in Tech Networking,Celebrating women in technology with talks and networking opportunities.,03/08/2026,17:00,meetup,Skyline Rooftop Bar,false,https://example.com/register/wit-march-2026,https://picsum.photos/seed/womenintech/800/400,"Panel of Leaders",80,22
DevOps and CI/CD Pipelines,Setting up automated deployment pipelines with GitHub Actions and Docker.,04/18/2026,14:00,webinar,Online via Microsoft Teams,true,https://example.com/register/devops-cicd,https://picsum.photos/seed/devops/800/400,Chris Martinez,150,15
Startup Pitch Night,Watch local tech startups pitch their ideas to investors and the community.,05/10/2026,19:00,meetup,Venture Capital Hub,false,https://example.com/register/pitch-night,https://picsum.photos/seed/startup/800/400,"Startup Founders, VC Panel",100,5
